s_1_1;s_218_1;s_219_1;s_2_1;s_3;s_4;s_5;s_6;s_7;s_8;s_19;s_23;s_191_1;s_191_2;s_191_3;s_191_4;s_191_5;s_84;s_85;s_86;s_87;s_173;s_192;s_227;s_228;s_229;s_230;s_231;s_232;s_233;s_234;s_235;s_236;s_284;s_285;s_286;s_287;s_288;s_336;s_337;s_338;s_339;s_340;s_341;s_342;s_343;s_111;s_391;s_392;s_393;s_394;s_395;s_396;s_397;s_398;s_399;s_401;s_410;s_421;s_427;s_436;s_446;s_460;s_461;s_112;s_200;s_217;s_204;s_205;s_206;s_207;s_208;s_209;s_210;s_211;s_216;s_143;s_144;s_145;s_146;s_147;s_148;s_149;lang;stato_1;stato_2;stato_3;stato_4;stato_5
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;30;Spain;4;2;2;39;5;1;1;0;0;1;5;6;4;4;1;1;4;2;6;2;1;5;6;4;4;2;;;;;;;;;;;;;;;6;5;4;5;3;2;1;6;6;2;3;3;1;3;6;5;4;No;1;1;3;Los que me causan gracia.;3;Me distraen;3;Los que no ofendan a nadie...;4;Pq la gente utiliza la imaginación pa divertir;No;2;3;2;2;2;2;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;36;Thailand;5;1;2;36;;1;1;0;0;1;3;6;2;5;2;1;5;2;5;2;1;6;2;5;2;2;;;;;;;;;;;;;;;6;5;4;1;6;6;1;4;4;2;7;7;7;7;7;5;2;;2;2;;;;;;;;;;2;2;3;3;2;1;2;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
